day,title,summary,start,end,type,location,categories
Thursday,"Dive into Paris 2024","Put on our virtual reality headsets to discover the Paris 2024 project !
Location: Paris 2024 Booth – K 35 – Accelerate Zone",08:00,10:30,"Partners Program",,"#AR&VR\n#entertainment\n#paris2024\n#peoplematter"
Thursday,LyfPay,"Presentation of our new universal mobile payment application, available since 18 May, created through a merger of the Wa! and Fivory apps, incorporating such features as customer loyalty programmes – press release published on 10 May.
Location: Lab BNP Paribas – C16.",08:00,13:00,"Partners Program",,#finance&insurance
Thursday,"VR/AR projects running at BNP Paribas Group businesses","Presentation of two projects currently under development – no press release :
– the POD ‘teleporting’ capsule in use at BNPP Real Estate as a VR-based viewing tool for prospective real estate purchasers
– an Augmented Reality tool for bank account management
Location: Lab BNP Paribas – C16",08:00,13:30,"Partners Program",,"#AR&VR\n#finance&insurance"
Thursday,"The first-ever BNP Paribas corporate film produced using VR techniques","Location: Lab BNP Paribas – C16",08:00,13:30,"Partners Program",,"#AR&VR\n#finance&insurance"
Thursday,"Kick Off And Startup Briefing","Location : Lab Cisco C12",08:00,10:00,"Partners Program",,"#IoT\n#smartcities\n#telco"
Thursday,Welcome,"Location; Lab Carrefour – N16",08:00,09:00,"Partners Program",,"#peoplematter\n#retail&ecommerce"
Thursday,"Kick off Energy Revolution","With :  Stéphane Queré, Senior VP Innovation – ENGIE
Location : Lab Engie M30",08:15,08:45,"Partners Program",,"#energy\n#startupacademy"
Thursday,"Meet Recruitment Experts:  Advices, Interviews, Apply For Job Offers And Give Your Resume","With ManPowerGroup’s recruitment experts.
Location: Talent Connect’s Stand – B13",08:30,11:30,,"Talent Connect","#HR&talent\n#peoplematter"
Thursday,"Café De L’Avenir","Individual Coaching For Job Seekers And Alumni. No registration required.
Location: Talent Connect’s Stand – B13",08:30,13:30,,"Talent Connect","#HR&talent\n#peoplematter\n#positiveimpact"
Thursday,"WARM UP – Yoga","Centre Qee",08:30,08:50,"Partners Program",,"#health&wellbeing\n#positiveimpact"
Thursday,"Opening Words","Hosted by Ian Rogers, CDO, LVMH
Location : Lab LVMH M20",09:00,09:10,"Partners Program",,"#luxury\n#nexttechs\n#startupacademy"
Thursday,"Presentation Of Positive Projects","ISAHIT: The delegation of microwork task via the internet to provide training, revenue and empowerment to African women.
Presented by Isabelle Mashola (Founder Isahit).
Location: SparkNews Stand – Positive Impact: J 41.",09:00,13:30,"Partners Program",,"#b2bservices\n#peoplematter\n#positiveimpact"
